,Date,Title,Link
0,"September 9, 2024",Candid Therapeutics Raises $370M in Funding,https://www.finsmes.com/2024/09/candid-therapeutics-raises-370m-in-funding.html
1,"September 9, 2024",Bambusa Therapeutics Raises Approx. $15M in Series Seed Funding,https://www.finsmes.com/2024/09/bambusa-therapeutics-raises-approx-15m-in-series-seed-funding.html
2,"September 9, 2024",NetNow Raises $1.8M in Pre-Seed Funding,https://www.finsmes.com/2024/09/netnow-raises-1-8m-in-pre-seed-funding.html
3,"September 9, 2024","PIN AI secures $10M from a16z CSX, Hack VC, and All-Star angels to launch open platform for personal AI",https://www.finsmes.com/2024/09/pin-ai-secures-10m-from-a16z-csx-hack-vc-and-all-star-angels-to-launch-open-platform-for-personal-ai.html
4,"September 9, 2024",Mangomint Raises $35M in Series B Funding,https://www.finsmes.com/2024/09/mangomint-raises-35m-in-series-b-funding.html
5,"September 9, 2024",Superluminal Medicines Closes $120M Series A Funding,https://www.finsmes.com/2024/09/superluminal-medicines-closes-120m-series-a-funding.html
6,"September 9, 2024",double jump.tokyo Raises $10M in Funding,https://www.finsmes.com/2024/09/double-jump-tokyo-raises-10m-in-funding.html
7,"September 9, 2024",Odigos Raises $13M in Funding,https://www.finsmes.com/2024/09/odigos-raises-13m-in-funding.html
8,"September 9, 2024",CSA Medical Raises $53M in Series D Financing,https://www.finsmes.com/2024/09/csa-medical-raises-53m-in-series-d-financing.html
9,"September 9, 2024",ArcanaBio Raises Funding from BioInnovation Institute,https://www.finsmes.com/2024/09/arcanabio-raises-funding-from-bioinnovation-institute.html
10,"September 9, 2024","Castik Capital Closes EPIC III Fund, at €2 Billion",https://www.finsmes.com/2024/09/castik-capital-closes-epic-iii-fund-at-e2-billion.html
11,"September 9, 2024",Korint Raises €5M in Funding,https://www.finsmes.com/2024/09/korint-raises-e5m-in-funding.html
12,"September 9, 2024",Constantiam Biosciences Receives $2.05M Phase II SBIR Grant from NHGRI,https://www.finsmes.com/2024/09/constantiam-biosciences-receives-2-05m-phase-ii-sbir-grant-from-nhgri.html
13,"September 9, 2024",Citroniq Chemicals Raises $12M in Series A Financing,https://www.finsmes.com/2024/09/citroniq-chemicals-raises-12m-in-series-a-financing.html
14,"September 9, 2024",Epsilogen Closes £12.5M Series B Extension Financing,https://www.finsmes.com/2024/09/epsilogen-closes-12-5m-series-b-extension-financing.html
15,"September 9, 2024",MirrorWeb Raises $63M in Funding,https://www.finsmes.com/2024/09/mirrorweb-raises-63m-in-funding.html
16,"September 9, 2024",Cercli Raises $4M in Seed Funding,https://www.finsmes.com/2024/09/cercli-raises-4m-in-seed-funding.html
17,"September 9, 2024",Calyxia Raises $35M in Series B Funding,https://www.finsmes.com/2024/09/calyxia-raises-35m-in-series-b-funding.html
18,"September 9, 2024",OrsoBio Raises $67M in Series B Financing,https://www.finsmes.com/2024/09/orsobio-raises-67m-in-series-b-financing.html
